year,ssb,rec_obs,rec_pred_om,rec_pred_ss3,rec_resid_om,rec_resid_ss3,rec_mult_om,rec_resid_std,resid_percentile,residual_class,sigmaR_lower_95,sigmaR_upper_95,sigmaR_lower_80,sigmaR_upper_80,below_sigmaR_95,above_sigmaR_95,inside_sigmaR_95
1999,13733.42772447,7963360,7842021.104102415,8162554.191606904,0.015354426315663972,-0.02470611232931219,1.0154729111649694,0.0548787100413273,0.5428571428571428,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2000,14123.826707614,11976400,7868433.694941893,8179994.455801535,0.4200790263151237,0.3812465738536037,1.522081835384705,1.500474353652383,1,upper 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2001,23959.8501824,8495700,8270716.878416054,8440428.159125924,0.02683896365301841,0.006527116066269656,1.027202372526024,0.0958991895075872,0.6,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2002,14804.459046195998,4910000,7911529.375877288,8208358.857163097,-0.47704716842397055,-0.5138790660808823,0.620613255253892,-1.7038816921277091,0.02857142857142857,lower 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2003,8862.806807857,6282940,7351396.513592825,7830619.297006179,-0.15705227322905913,-0.22020357592686146,0.8546593818443557,-0.5609236745716777,0.2857142857142857,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2004,10506.676270771,5777520,7560058.360265659,7973667.211977207,-0.26890438490820756,-0.3221699890841734,0.7642163227688343,-0.9604371347673024,0.11428571428571428,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2005,8737.648452951,10916600,7332867.38347699,7817779.146182221,0.3979179424695065,0.33388404895363166,1.488721864055276,1.4213193769967354,0.9714285714285714,upper 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2006,18020.919354306,11904600,8075342.026400361,8315149.133299281,0.3881096556240511,0.3588458321083774,1.4741914288064608,1.3862861303517404,0.9428571428571428,upper 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2007,21686.546865648,6130410,8207554.68863437,8400172.016230574,-0.29179340173497437,-0.3149905518746259,0.7469228329954647,-1.0421921430157717,0.08571428571428572,lower 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
2008,15259.647329540001,6539060,7938442.688127731,8226015.026687032,-0.19392369677357024,-0.229508272285317,0.8237207544219511,-0.6926210540977913,0.17142857142857143,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
